ID,EnglishSepaker,courseInstructor,course,summer,classSize,label
1,1,23,3,1,19,2
2,2,15,3,1,17,2
3,1,23,3,2,49,2
4,1,5,2,2,33,2
5,2,7,11,2,55,2
6,2,23,3,1,20,2
7,2,9,5,2,19,2
8,2,10,3,2,27,2
9,1,22,3,1,58,2
10,2,15,3,1,20,2
11,2,10,22,2,9,2
12,2,13,1,2,30,2
13,2,18,21,2,29,2
14,2,6,17,2,39,2
15,2,6,17,2,42,1
16,2,6,17,2,43,1
17,2,7,11,2,10,1
18,2,22,3,2,46,1
19,2,13,3,1,10,1
20,2,7,25,2,42,1
21,2,25,7,2,27,1
22,2,25,7,2,23,1
23,2,2,9,2,31,1
24,2,1,15,1,22,1
25,2,15,13,2,37,1
26,2,7,11,2,13,1
27,2,8,3,2,24,1
28,2,14,15,2,38,1
29,2,21,2,2,42,0
30,2,22,3,2,28,0
31,2,11,1,2,51,0
32,2,18,5,2,19,0
33,2,13,1,2,31,0
34,1,13,3,1,13,0
35,2,5,2,2,37,0
36,2,16,8,2,36,0
37,2,4,16,2,21,0
38,2,5,2,2,48,0
39,2,14,15,2,38,0
40,1,23,3,1,19,2
41,2,15,3,1,17,2
42,1,23,3,2,49,2
43,1,5,2,2,33,2
44,2,7,11,2,55,2
45,2,23,3,1,20,2
46,2,9,5,2,19,2
47,2,10,3,2,27,2
48,1,22,3,2,58,2
49,2,15,3,1,20,2
50,2,10,22,2,9,2
51,2,13,1,2,30,2
52,2,18,21,2,29,2
53,2,6,17,2,39,2
54,2,6,17,2,42,1
55,2,6,17,2,43,1
56,2,7,11,2,10,1
57,2,22,3,2,46,1
58,2,13,3,1,10,1
59,2,7,25,2,42,1
60,2,25,7,2,27,1
61,2,25,7,2,23,1
62,2,2,9,2,31,1
63,2,1,15,1,22,1
64,2,15,13,2,37,1
65,2,7,11,2,13,1
66,2,8,3,2,24,1
67,2,14,15,2,38,1
68,2,21,2,2,42,0
69,2,22,3,2,28,0
70,2,11,1,2,51,0
71,2,18,5,2,19,0
72,2,13,1,2,31,0
73,1,13,3,1,13,0
74,2,5,2,2,37,0
75,2,16,8,2,36,0
76,2,4,16,2,21,0
77,2,5,2,2,48,0
78,2,14,15,2,38,0
79,1,23,3,1,25,2
80,1,13,3,1,17,2
81,2,16,19,2,11,2
82,2,9,2,2,39,2
83,2,13,3,1,11,2
84,2,18,21,2,19,2
85,1,22,3,2,45,2
86,2,7,11,1,20,2
87,2,23,3,1,20,2
88,1,23,3,1,20,2
89,1,23,3,2,38,2
90,2,14,22,2,17,2
91,1,17,17,2,19,2
92,2,9,5,2,24,2
93,2,18,25,2,25,2
94,1,17,17,2,31,2
95,2,1,15,2,31,2
96,2,1,8,2,18,1
97,1,11,16,2,22,1
98,1,22,13,2,27,1
99,2,9,2,2,14,1
100,2,13,1,2,20,1
101,1,6,17,2,35,1
102,2,23,3,1,20,1
103,1,23,3,1,20,1
104,2,6,17,2,37,1
105,1,22,3,2,15,1
106,2,20,2,2,25,1
107,2,23,3,2,10,1
108,2,20,2,2,14,0
109,1,23,3,2,38,0
110,2,13,1,2,29,0
111,2,10,3,2,19,0
112,2,7,11,2,30,0
113,1,14,15,2,32,0
114,2,8,3,2,27,0
115,2,12,7,2,34,0
116,2,8,7,2,23,0
117,2,15,1,2,66,0
118,2,23,3,2,12,0
119,2,2,9,2,29,0
120,2,15,1,2,19,0
121,2,20,2,2,3,0
122,2,13,14,2,17,2
123,2,9,6,2,7,2
124,1,10,3,2,21,2
125,2,14,15,2,36,2
126,1,13,1,2,54,2
127,1,8,3,2,29,2
128,2,20,2,2,45,2
129,2,22,1,2,11,1
130,2,18,12,2,16,1
131,2,20,15,2,18,1
132,1,17,18,2,44,1
133,2,14,23,2,17,1
134,2,24,26,2,21,1
135,2,9,24,2,20,1
136,2,12,8,2,24,1
137,2,9,6,2,5,1
138,2,22,1,2,42,1
139,2,7,11,2,30,0
140,2,10,3,2,19,0
141,2,23,3,2,11,0
142,2,17,18,2,29,0
143,2,16,20,2,15,0
144,2,3,2,2,37,0
145,2,19,4,2,10,0
146,2,23,3,2,24,0
147,2,3,2,2,26,0
148,2,10,3,2,12,0
149,1,18,7,2,48,0
150,2,22,1,2,51,0
151,2,2,10,2,27,0
